Country Name,Capitol City,Population,GDP,Area,Happiness Index
Uruguay,Montevideo,3473730,53628827440,181034,6.494
Saudi Arabia,Riyadh,34813871,7.00E+11,2149690,6.463
Bahrain,Manama,1701575,34729228723,765,6.173
Guatemala,Guatemala City,17915568,77604632171,108889,6.15
Zimbabwe,Harare,14862924,18051170799,390757,3.204
Ecuador,Quito,17643054,98808010000,276841,5.559
Russia,Moscow,145934462,1.48E+12,17098242,5.661
Guinea,Conakry,13132795,15681050917,245857,5.072
Botswana,Gaborone,2351627,15061922802,582000,3.435
Iceland,Reykjavik,341243,21718075725,103000,7.53
Jamaica,Kingston,2961167,13812425037,10991,5.703
Sweden,Stockholm,10099265,5.41E+11,450295,7.395
Iraq,Baghdad,40222493,1.67E+11,438317,4.941
Kyrgyz Republic,Bishkek,6524195,7735976273,199951,5.825
El Salvador,San Salvador,6486205,24638720000,21041,6.122
Malaysia,Kuala Lumpur,32365999,3.37E+11,330803,6.012
